number,precinct,office,district,party,office,votes
173,173,U S Senate,25,,write-in,0
174,174,U S Senate,25,,write-in,0
177,177,U S Senate,25,,write-in,0
179,179,U S Senate,25,,write-in,0
180,180,U S Senate,25,,write-in,0
181,181,U S Senate,25,,write-in,0
201,Gig Harbor 201,U S Senate,26,,write-in,0
202,Gig Harbor 202,U S Senate,26,,write-in,3
211,Lakebay 211,U S Senate,26,,write-in,0
212,Lakebay 212,U S Senate,26,,write-in,1
213,Lakebay 213,U S Senate,26,,write-in,0
214,Lakebay 214,U S Senate,26,,write-in,1
215,Herron Island 215,U S Senate,26,,write-in,0
216,S Kitsap Penin 216,U S Senate,26,,write-in,0
217,S Kitsap Penin 217,U S Senate,26,,write-in,0
218,S Kitsap Penin 218,U S Senate,26,,write-in,0
219,S Kitsap Penin 219,U S Senate,26,,write-in,0
220,S Kitsap Penin 220,U S Senate,26,,write-in,0
221,S Kitsap Penin 221,U S Senate,26,,write-in,1
222,S Kitsap Penin 222,U S Senate,26,,write-in,0
223,SKP Raft Island 223,U S Senate,26,,write-in,0
224,S Kitsap Penin 224,U S Senate,26,,write-in,0
225,S Kitsap Penin 225,U S Senate,26,,write-in,0
226,S Kitsap Penin 226,U S Senate,26,,write-in,2
227,Fox Island 227,U S Senate,26,,write-in,1
228,S Kitsap Penin 228,U S Senate,26,,write-in,1
229,S Kitsap Penin 229,U S Senate,26,,write-in,0
230,S Kitsap Penin 230,U S Senate,26,,write-in,1
301,Tacoma 301,U S Senate,27,,write-in,0
302,Tacoma 302,U S Senate,27,,write-in,0
303,Tacoma 303,U S Senate,27,,write-in,1
304,Tacoma 304,U S Senate,27,,write-in,2
305,Tacoma 305,U S Senate,27,,write-in,1
306,Tacoma 306,U S Senate,27,,write-in,2
307,Tacoma 307,U S Senate,27,,write-in,0
308,Tacoma 308,U S Senate,27,,write-in,0
309,Tacoma 309,U S Senate,27,,write-in,0
310,Tacoma 310,U S Senate,27,,write-in,0
311,Tacoma 311,U S Senate,27,,write-in,0
312,Tacoma 312,U S Senate,27,,write-in,0
313,Tacoma 313,U S Senate,27,,write-in,0
314,Tacoma 314,U S Senate,27,,write-in,1
315,Tacoma 315,U S Senate,27,,write-in,0
316,Tacoma 316,U S Senate,27,,write-in,0
317,Tacoma 317,U S Senate,27,,write-in,1
318,Tacoma 318,U S Senate,27,,write-in,1
319,Tacoma 319,U S Senate,27,,write-in,1
321,Tacoma 321,U S Senate,27,,write-in,1
322,Tacoma 322,U S Senate,27,,write-in,1
323,Tacoma 323,U S Senate,27,,write-in,1
324,Tacoma 324,U S Senate,27,,write-in,3
325,Tacoma 325,U S Senate,27,,write-in,0
326,Tacoma 326,U S Senate,27,,write-in,0
327,Tacoma 327,U S Senate,27,,write-in,1
328,Tacoma 328,U S Senate,27,,write-in,0
329,Tacoma 329,U S Senate,27,,write-in,0
330,Tacoma 330,U S Senate,27,,write-in,0
331,Tacoma 331,U S Senate,27,,write-in,0
332,Tacoma 332,U S Senate,27,,write-in,2
333,Tacoma 333,U S Senate,27,,write-in,1
334,Tacoma 334,U S Senate,27,,write-in,0
335,Tacoma 335,U S Senate,27,,write-in,1
336,Tacoma 336,U S Senate,27,,write-in,1
337,Tacoma 337,U S Senate,27,,write-in,1
338,Tacoma 338,U S Senate,27,,write-in,1
339,Tacoma 339,U S Senate,27,,write-in,1
340,Tacoma 340,U S Senate,27,,write-in,1
341,Tacoma 341,U S Senate,27,,write-in,1
342,Tacoma 342,U S Senate,27,,write-in,1
343,Tacoma 343,U S Senate,27,,write-in,1
344,Tacoma 344,U S Senate,27,,write-in,0
345,Tacoma 345,U S Senate,27,,write-in,1
351,Ruston 351,U S Senate,27,,write-in,0
352,Fife 352,U S Senate,27,,write-in,0
353,Milton 353,U S Senate,27,,write-in,0
354,Fife 354,U S Senate,27,,write-in,0
356,Brown's Point 356,U S Senate,27,,write-in,0
357,Hylebo 357,U S Senate,27,,write-in,0
358,Hylebo 358,U S Senate,27,,write-in,0
359,359,U S Senate,27,,write-in,0
401,Tacoma 401,U S Senate,28,,write-in,0
402,Tacoma 402,U S Senate,28,,write-in,0
403,Tacoma 403,U S Senate,28,,write-in,2
404,Tacoma 404,U S Senate,28,,write-in,4
405,Tacoma 405,U S Senate,28,,write-in,0
411,Fircrest 411,U S Senate,28,,write-in,0
412,Fircrest 412,U S Senate,28,,write-in,2
413,Fircrest 413,U S Senate,28,,write-in,0
416,Univ Place 416,U S Senate,28,,write-in,0
417,Univ Place 417,U S Senate,28,,write-in,0
418,Univ Place 418,U S Senate,28,,write-in,3
419,Univ Place 419,U S Senate,28,,write-in,3
420,Univ Place 420,U S Senate,28,,write-in,2
421,Univ Place 421,U S Senate,28,,write-in,0
422,Univ Place 422,U S Senate,28,,write-in,1
423,Univ Place 423,U S Senate,28,,write-in,0
424,Univ Place 424,U S Senate,28,,write-in,2
425,Univ Place 426,U S Senate,28,,write-in,0
426,Lakewood 430,U S Senate,28,,write-in,0
427,Lakewood 431,U S Senate,28,,write-in,5
432,Lakewood 432,U S Senate,28,,write-in,2
433,Lakewood 433,U S Senate,28,,write-in,1
434,Lakewood 434,U S Senate,28,,write-in,0
435,Lakewood 435,U S Senate,28,,write-in,0
436,Lakewood 436,U S Senate,28,,write-in,0
437,Lakewood 437,U S Senate,28,,write-in,1
438,Lakewood 438,U S Senate,28,,write-in,0
439,Lakewood 439,U S Senate,28,,write-in,2
440,Lakewood 440,U S Senate,28,,write-in,0
441,Lakewood 441,U S Senate,28,,write-in,0
442,Lakewood 442,U S Senate,28,,write-in,0
443,Lakewood 443,U S Senate,28,,write-in,1
444,Lakewood 444,U S Senate,28,,write-in,1
451,Steilacoom  451,U S Senate,28,,write-in,0
452,Steilacoom 452,U S Senate,28,,write-in,1
453,Steilacoom 453,U S Senate,28,,write-in,0
457,Dupont 457,U S Senate,28,,write-in,0
458,Dupont 458,U S Senate,28,,write-in,1
460,460,U S Senate,28,,write-in,0
461,McNeill Island 461,U S Senate,28,,write-in,0
462,Anderson Island 462,U S Senate,28,,write-in,0
463,Ketron Island 463,U S Senate,28,,write-in,0
464,464,U S Senate,28,,write-in,1
465,Fort Lewis 465,U S Senate,28,,write-in,1
467,McChord 467,U S Senate,28,,write-in,0
469,Fort Lewis 469,U S Senate,28,,write-in,0
470,Nisqually rural 470,U S Senate,28,,write-in,0
500,Tacoma 500,U S Senate,29,,write-in,0
501,Tacoma 501,U S Senate,29,,write-in,1
502,Tacoma 502,U S Senate,29,,write-in,3
503,Tacoma 503,U S Senate,29,,write-in,0
504,Tacoma 504,U S Senate,29,,write-in,1
505,Tacoma 505,U S Senate,29,,write-in,1
506,Tacoma 506,U S Senate,29,,write-in,0
507,Tacoma 507,U S Senate,29,,write-in,0
508,Tacoma 508,U S Senate,29,,write-in,0
509,Tacoma 509,U S Senate,29,,write-in,1
510,Tacoma 510,U S Senate,29,,write-in,2
511,Tacoma 511,U S Senate,29,,write-in,0
512,Tacoma 512,U S Senate,29,,write-in,1
513,Tacoma 513,U S Senate,29,,write-in,0
515,Tacoma 515,U S Senate,29,,write-in,0
516,Tacoma 516,U S Senate,29,,write-in,2
517,Tacoma 517,U S Senate,29,,write-in,1
518,Tacoma 518,U S Senate,29,,write-in,3
519,Tacoma 519,U S Senate,29,,write-in,0
520,Tacoma 520,U S Senate,29,,write-in,1
521,Tacoma 521,U S Senate,29,,write-in,1
522,Tacoma 522,U S Senate,29,,write-in,0
523,Tacoma 523,U S Senate,29,,write-in,0
530,Univ Place 530,U S Senate,29,,write-in,1
531,Lakewood 531,U S Senate,29,,write-in,0
532,Lakewood 532,U S Senate,29,,write-in,0
533,Lakewood 533,U S Senate,29,,write-in,0
534,Lakewood 534,U S Senate,29,,write-in,1
535,Lakewood 535,U S Senate,29,,write-in,1
536,Lakewood 536,U S Senate,29,,write-in,1
537,Lakewood 537,U S Senate,29,,write-in,0
538,Lakewood 538,U S Senate,29,,write-in,0
545,Lakewood 545,U S Senate,29,,write-in,0
546,546,U S Senate,29,,write-in,0
548,548,U S Senate,29,,write-in,0
549,549,U S Senate,29,,write-in,0
550,550,U S Senate,29,,write-in,0
551,551,U S Senate,29,,write-in,0
552,552,U S Senate,29,,write-in,0
553,553,U S Senate,29,,write-in,0
554,554,U S Senate,29,,write-in,0
555,Parkland 555,U S Senate,29,,write-in,2
556,Parkland 556,U S Senate,29,,write-in,1
557,Parkland 557,U S Senate,29,,write-in,0
558,Parkland 558,U S Senate,29,,write-in,0
559,Parkland 559,U S Senate,29,,write-in,1
560,Parkland 560,U S Senate,29,,write-in,5
561,561,U S Senate,29,,write-in,0
562,562,U S Senate,29,,write-in,0
563,563,U S Senate,29,,write-in,1
564,564,U S Senate,29,,write-in,1
565,565,U S Senate,29,,write-in,0
566,566,U S Senate,29,,write-in,0
601,Edgewood 601,U S Senate,31,,write-in,0
602,Edgewood 602,U S Senate,31,,write-in,0
603,Edgewood 603,U S Senate,31,,write-in,0
604,Edgewood 604,U S Senate,31,,write-in,0
608,Pacific 608,U S Senate,31,,write-in,0
611,Sumner 611,U S Senate,31,,write-in,0
612,Sumner 612,U S Senate,31,,write-in,0
613,Sumner 613,U S Senate,31,,write-in,0
614,Sumner 614,U S Senate,31,,write-in,0
615,Sumner 615,U S Senate,31,,write-in,2
616,Sumner 616,U S Senate,31,,write-in,0
617,Sumner 617,U S Senate,31,,write-in,0
618,Auburn 618,U S Senate,31,,write-in,0
619,Auburn 619,U S Senate,31,,write-in,0
621,Bonney Lake 621,U S Senate,31,,write-in,2
622,Bonney Lake 622,U S Senate,31,,write-in,2
623,Bonney Lake 623,U S Senate,31,,write-in,0
624,Bonney Lake 624,U S Senate,31,,write-in,2
625,Bonney Lake 625,U S Senate,31,,write-in,1
626,Bonney Lake 626,U S Senate,31,,write-in,0
627,Buckley 627,U S Senate,31,,write-in,0
628,Buckley 628,U S Senate,31,,write-in,2
629,South Prairie city 629,U S Senate,31,,write-in,0
630,Wilkeson 630,U S Senate,31,,write-in,0
631,Puyallup 631,U S Senate,31,,write-in,0
636,Sumner 636,U S Senate,31,,write-in,0
638,Lake Tapps 638,U S Senate,31,,write-in,0
639,Lake Tapps 639,U S Senate,31,,write-in,0
640,Lake Tapps 640,U S Senate,31,,write-in,4
641,Lake Tapps 641,U S Senate,31,,write-in,0
642,Lake Tapps 642,U S Senate,31,,write-in,0
643,643,U S Senate,31,,write-in,0
644,644,U S Senate,31,,write-in,0
645,645,U S Senate,31,,write-in,1
646,646,U S Senate,31,,write-in,0
647,647,U S Senate,31,,write-in,0
648,648,U S Senate,31,,write-in,0
649,649,U S Senate,31,,write-in,0
650,Lake Tapps 650,U S Senate,31,,write-in,0
651,Lake Tapps 651,U S Senate,31,,write-in,0
652,Lake Tapps 652,U S Senate,31,,write-in,2
653,Lake Tapps 653,U S Senate,31,,write-in,0
654,654,U S Senate,31,,write-in,0
655,655,U S Senate,31,,write-in,2
656,656,U S Senate,31,,write-in,0
657,657,U S Senate,31,,write-in,0
658,658,U S Senate,31,,write-in,1
659,659,U S Senate,31,,write-in,0
660,660,U S Senate,31,,write-in,2
661,661,U S Senate,31,,write-in,0
662,662,U S Senate,31,,write-in,0
663,663,U S Senate,31,,write-in,1
664,664,U S Senate,31,,write-in,0
665,665,U S Senate,31,,write-in,0
666,South Prairie 666,U S Senate,31,,write-in,1
667,South Prairie 667,U S Senate,31,,write-in,0
668,SP wilkeson rural 668,U S Senate,31,,write-in,0
669,SP wilkeson rural 669,U S Senate,31,,write-in,0
670,South Prairie 670,U S Senate,31,,write-in,0
671,Snoqualmie 671,U S Senate,31,,write-in,0
672,672,U S Senate,31,,write-in,0
673,Crystal Mtn 673,U S Senate,31,,write-in,0
62725127,Tacoma 127,Congress 6,6,D,Norm Dicks,0
62725141,141,Congress 6,6,D,Norm Dicks,476
62725142,142,Congress 6,6,D,Norm Dicks,14
62725143,143,Congress 6,6,D,Norm Dicks,522
62726201,Gig Harbor 201,Congress 6,6,D,Norm Dicks,974
62726201,Gig Harbor 202,Congress 6,6,D,Norm Dicks,832
62726211,Lakebay 211,Congress 6,6,D,Norm Dicks,738
62726212,Lakebay 212,Congress 6,6,D,Norm Dicks,916
62726213,Lakebay 213,Congress 6,6,D,Norm Dicks,981
62726214,Lakebay 214,Congress 6,6,D,Norm Dicks,996
62726215,Herron Island 215,Congress 6,6,D,Norm Dicks,45
62726216,S Kitsap Penin 216,Congress 6,6,D,Norm Dicks,888
62726217,S Kitsap Penin 217,Congress 6,6,D,Norm Dicks,512
62726218,S Kitsap Penin 218,Congress 6,6,D,Norm Dicks,589
62726219,S Kitsap Penin 219,Congress 6,6,D,Norm Dicks,809
62726220,S Kitsap Penin 220,Congress 6,6,D,Norm Dicks,107
62726221,S Kitsap Penin 221,Congress 6,6,D,Norm Dicks,735
62726222,S Kitsap Penin 222,Congress 6,6,D,Norm Dicks,519
62726223,SKP Raft Island 223,Congress 6,6,D,Norm Dicks,684
62726224,S Kitsap Penin 224,Congress 6,6,D,Norm Dicks,74
62726225,S Kitsap Penin 225,Congress 6,6,D,Norm Dicks,757
62726226,S Kitsap Penin 226,Congress 6,6,D,Norm Dicks,1001
62726227,Fox Island 227,Congress 6,6,D,Norm Dicks,1103
62726228,S Kitsap Penin 228,Congress 6,6,D,Norm Dicks,731
62726229,S Kitsap Penin 229,Congress 6,6,D,Norm Dicks,710
62726230,S Kitsap Penin 230,Congress 6,6,D,Norm Dicks,708
62727301,Tacoma 301,Congress 6,6,D,Norm Dicks,839
62727302,Tacoma 302,Congress 6,6,D,Norm Dicks,1073
62727303,Tacoma 303,Congress 6,6,D,Norm Dicks,969
62727304,Tacoma 304,Congress 6,6,D,Norm Dicks,1113
62727305,Tacoma 305,Congress 6,6,D,Norm Dicks,953
62727306,Tacoma 306,Congress 6,6,D,Norm Dicks,1133
62727307,Tacoma 307,Congress 6,6,D,Norm Dicks,1067
62727308,Tacoma 308,Congress 6,6,D,Norm Dicks,705
62727309,Tacoma 309,Congress 6,6,D,Norm Dicks,924
62727310,Tacoma 310,Congress 6,6,D,Norm Dicks,538
62727311,Tacoma 311,Congress 6,6,D,Norm Dicks,483
62727312,Tacoma 312,Congress 6,6,D,Norm Dicks,502
62727313,Tacoma 313,Congress 6,6,D,Norm Dicks,836
62727314,Tacoma 314,Congress 6,6,D,Norm Dicks,798
62727315,Tacoma 315,Congress 6,6,D,Norm Dicks,662
62727316,Tacoma 316,Congress 6,6,D,Norm Dicks,506
62727317,Tacoma 317,Congress 6,6,D,Norm Dicks,178
62727318,Tacoma 318,Congress 6,6,D,Norm Dicks,781
62727319,Tacoma 319,Congress 6,6,D,Norm Dicks,660
62727320,Tacoma 320,Congress 6,6,D,Norm Dicks,567
62727321,Tacoma 321,Congress 6,6,D,Norm Dicks,558
62727322,Tacoma 322,Congress 6,6,D,Norm Dicks,508
62727323,Tacoma 323,Congress 6,6,D,Norm Dicks,472
62727324,Tacoma 324,Congress 6,6,D,Norm Dicks,491
62727325,Tacoma 325,Congress 6,6,D,Norm Dicks,415
62727326,Tacoma 326,Congress 6,6,D,Norm Dicks,3
62727327,Tacoma 327,Congress 6,6,D,Norm Dicks,123
62727337,Tacoma 337,Congress 6,6,D,Norm Dicks,231
62727338,Tacoma 338,Congress 6,6,D,Norm Dicks,703
62727339,Tacoma 339,Congress 6,6,D,Norm Dicks,323
62727340,Tacoma 340,Congress 6,6,D,Norm Dicks,279
62727341,Tacoma 341,Congress 6,6,D,Norm Dicks,509
62727342,Tacoma 342,Congress 6,6,D,Norm Dicks,372
62727343,Tacoma 343,Congress 6,6,D,Norm Dicks,26
62727344,Tacoma 344,Congress 6,6,D,Norm Dicks,73
62727345,Tacoma 345,Congress 6,6,D,Norm Dicks,524
62727351,Ruston 351,Congress 6,6,D,Norm Dicks,215
62727359,359,Congress 6,6,D,Norm Dicks,2
62728401,Tacoma 401,Congress 6,6,D,Norm Dicks,932
62728402,Tacoma 402,Congress 6,6,D,Norm Dicks,616
62728403,Tacoma 403,Congress 6,6,D,Norm Dicks,908
62728404,Tacoma 404,Congress 6,6,D,Norm Dicks,879
62728405,Tacoma 405,Congress 6,6,D,Norm Dicks,188
62728411,Fircrest 411,Congress 6,6,D,Norm Dicks,682
62728412,Fircrest 412,Congress 6,6,D,Norm Dicks,1054
62728413,Fircrest 413,Congress 6,6,D,Norm Dicks,126
62728416,Univ Place 416,Congress 6,6,D,Norm Dicks,846
62728417,Univ Place 417,Congress 6,6,D,Norm Dicks,621
62728418,Univ Place 418,Congress 6,6,D,Norm Dicks,721
62728419,Univ Place 419,Congress 6,6,D,Norm Dicks,823
62728420,Univ Place 420,Congress 6,6,D,Norm Dicks,1022
62728421,Univ Place 421,Congress 6,6,D,Norm Dicks,927
62728422,Univ Place 422,Congress 6,6,D,Norm Dicks,833
62728423,Univ Place 423,Congress 6,6,D,Norm Dicks,964
62728424,Univ Place 424,Congress 6,6,D,Norm Dicks,748
62728425,Univ Place 426,Congress 6,6,D,Norm Dicks,2
62728426,Lakewood 430,Congress 6,6,D,Norm Dicks,854
62728427,Lakewood 431,Congress 6,6,D,Norm Dicks,461
62728437,Lakewood 437,Congress 6,6,D,Norm Dicks,599
62728440,Lakewood 440,Congress 6,6,D,Norm Dicks,178
62728441,Lakewood 441,Congress 6,6,D,Norm Dicks,125
62728442,Lakewood 442,Congress 6,6,D,Norm Dicks,1
62728460,460,Congress 6,6,D,Norm Dicks,8
62729500,Tacoma 500,Congress 6,6,D,Norm Dicks,0
62729501,Tacoma 501,Congress 6,6,D,Norm Dicks,491
62729502,Tacoma 502,Congress 6,6,D,Norm Dicks,576
62729503,Tacoma 503,Congress 6,6,D,Norm Dicks,393
62729504,Tacoma 504,Congress 6,6,D,Norm Dicks,520
62729505,Tacoma 505,Congress 6,6,D,Norm Dicks,474
62729506,Tacoma 506,Congress 6,6,D,Norm Dicks,488
62729507,Tacoma 507,Congress 6,6,D,Norm Dicks,580
62729508,Tacoma 508,Congress 6,6,D,Norm Dicks,58
62729509,Tacoma 509,Congress 6,6,D,Norm Dicks,306
62729510,Tacoma 510,Congress 6,6,D,Norm Dicks,657
62729511,Tacoma 511,Congress 6,6,D,Norm Dicks,628
62729512,Tacoma 512,Congress 6,6,D,Norm Dicks,497
62729513,Tacoma 513,Congress 6,6,D,Norm Dicks,496
62729515,Tacoma 515,Congress 6,6,D,Norm Dicks,323
62729516,Tacoma 516,Congress 6,6,D,Norm Dicks,571
62729517,Tacoma 517,Congress 6,6,D,Norm Dicks,706
62729518,Tacoma 518,Congress 6,6,D,Norm Dicks,494
62729519,Tacoma 519,Congress 6,6,D,Norm Dicks,110
62729520,Tacoma 520,Congress 6,6,D,Norm Dicks,405
62729521,Tacoma 521,Congress 6,6,D,Norm Dicks,401
62729522,Tacoma 522,Congress 6,6,D,Norm Dicks,345
62729523,Tacoma 523,Congress 6,6,D,Norm Dicks,11
62729530,Univ Place 530,Congress 6,6,D,Norm Dicks,157
62729531,Lakewood 531,Congress 6,6,D,Norm Dicks,4
62729532,Lakewood 532,Congress 6,6,D,Norm Dicks,493
62729533,Lakewood 533,Congress 6,6,D,Norm Dicks,462
62729534,Lakewood 534,Congress 6,6,D,Norm Dicks,495
62729535,Lakewood 535,Congress 6,6,D,Norm Dicks,351
62729536,Lakewood 536,Congress 6,6,D,Norm Dicks,431
62729538,Lakewood 538,Congress 6,6,D,Norm Dicks,18
62729545,Lakewood 545,Congress 6,6,D,Norm Dicks,75
62729546,546,Congress 6,6,D,Norm Dicks,29
62729548,548,Congress 6,6,D,Norm Dicks,5
62729549,549,Congress 6,6,D,Norm Dicks,233
62729550,550,Congress 6,6,D,Norm Dicks,327
62729551,551,Congress 6,6,D,Norm Dicks,6
62729552,552,Congress 6,6,D,Norm Dicks,29
62729553,553,Congress 6,6,D,Norm Dicks,157
62729554,554,Congress 6,6,D,Norm Dicks,90
62729555,Parkland 555,Congress 6,6,D,Norm Dicks,476
62729556,Parkland 556,Congress 6,6,D,Norm Dicks,397
62729557,Parkland 557,Congress 6,6,D,Norm Dicks,4
62729558,Parkland 558,Congress 6,6,D,Norm Dicks,395
62729559,Parkland 559,Congress 6,6,D,Norm Dicks,262
62729560,Parkland 560,Congress 6,6,D,Norm Dicks,661
62729561,561,Congress 6,6,D,Norm Dicks,4
62729562,562,Congress 6,6,D,Norm Dicks,12
62729566,566,Congress 6,6,D,Norm Dicks,4
82702002,Orting 2,Congress 8,8,D,Darcy Burner,249
82702003,Orting 3,Congress 8,8,D,Darcy Burner,336
82702004,Wilkeson 4,Congress 8,8,D,Darcy Burner,0
82702005,Carbonado 5,Congress 8,8,D,Darcy Burner,61
82702006,Eatonville 6,Congress 8,8,D,Darcy Burner,371
82702021,21,Congress 8,8,D,Darcy Burner,23
82702022,22,Congress 8,8,D,Darcy Burner,149
82702023,23,Congress 8,8,D,Darcy Burner,243
82702025,25,Congress 8,8,D,Darcy Burner,530
82702046,46,Congress 8,8,D,Darcy Burner,58
82702049,49,Congress 8,8,D,Darcy Burner,218
82702050,50,Congress 8,8,D,Darcy Burner,321
82702051,51,Congress 8,8,D,Darcy Burner,59
82702053,53,Congress 8,8,D,Darcy Burner,378
82702054,54,Congress 8,8,D,Darcy Burner,75
82702055,55,Congress 8,8,D,Darcy Burner,6
82702056,56,Congress 8,8,D,Darcy Burner,139
82702057,57,Congress 8,8,D,Darcy Burner,102
82702058,58,Congress 8,8,D,Darcy Burner,4
82702059,59,Congress 8,8,D,Darcy Burner,402
82702060,60,Congress 8,8,D,Darcy Burner,367
82702061,61,Congress 8,8,D,Darcy Burner,49
82702062,62,Congress 8,8,D,Darcy Burner,206
82702063,63,Congress 8,8,D,Darcy Burner,117
82702064,64,Congress 8,8,D,Darcy Burner,149
82702026,Graham,Congress 8,8,D,Darcy Burner,471
82702035,Graham,Congress 8,8,D,Darcy Burner,128
82702039,Graham,Congress 8,8,D,Darcy Burner,449
82702044,Graham,Congress 8,8,D,Darcy Burner,404
82702045,Graham,Congress 8,8,D,Darcy Burner,442
82702047,Graham,Congress 8,8,D,Darcy Burner,213
82702048,Graham,Congress 8,8,D,Darcy Burner,511
82702052,Graham,Congress 8,8,D,Darcy Burner,256
82725160,160,Congress 8,8,D,Darcy Burner,222
82725161,161,Congress 8,8,D,Darcy Burner,156
82725162,162,Congress 8,8,D,Darcy Burner,431
82725163,163,Congress 8,8,D,Darcy Burner,346
82725164,164,Congress 8,8,D,Darcy Burner,413
82725165,165,Congress 8,8,D,Darcy Burner,30
82725166,166,Congress 8,8,D,Darcy Burner,500
82725167,167,Congress 8,8,D,Darcy Burner,114
82725168,168,Congress 8,8,D,Darcy Burner,336
82725169,169,Congress 8,8,D,Darcy Burner,118
82725170,170,Congress 8,8,D,Darcy Burner,309
82725171,171,Congress 8,8,D,Darcy Burner,461
82725172,172,Congress 8,8,D,Darcy Burner,538
82725173,173,Congress 8,8,D,Darcy Burner,169
82725174,174,Congress 8,8,D,Darcy Burner,280
82725177,177,Congress 8,8,D,Darcy Burner,11
82725179,179,Congress 8,8,D,Darcy Burner,6
82731617,Sumner 617,Congress 8,8,D,Darcy Burner,0
82731618,Auburn 618,Congress 8,8,D,Darcy Burner,19
82731619,Auburn 619,Congress 8,8,D,Darcy Burner,550
82731621,Bonney Lake 621,Congress 8,8,D,Darcy Burner,358
82731622,Bonney Lake 622,Congress 8,8,D,Darcy Burner,580
82731623,Bonney Lake 623,Congress 8,8,D,Darcy Burner,317
82731624,Bonney Lake 624,Congress 8,8,D,Darcy Burner,316
82731625,Bonney Lake 625,Congress 8,8,D,Darcy Burner,310
82731626,Bonney Lake 626,Congress 8,8,D,Darcy Burner,52
82731627,Buckley 627,Congress 8,8,D,Darcy Burner,203
82731628,Buckley 628,Congress 8,8,D,Darcy Burner,426
82731629,South Prairie 629,Congress 8,8,D,Darcy Burner,66
82731630,Wilkeson 630,Congress 8,8,D,Darcy Burner,86
82731638,Lake Tapps 638,Congress 8,8,D,Darcy Burner,220
82731639,Lake Tapps 639,Congress 8,8,D,Darcy Burner,196
82731640,Lake Tapps 640,Congress 8,8,D,Darcy Burner,436
82731641,Lake Tapps 641,Congress 8,8,D,Darcy Burner,43
82731642,Lake Tapps 642,Congress 8,8,D,Darcy Burner,214
82731650,Lake Tapps 650,Congress 8,8,D,Darcy Burner,191
82731651,Lake Tapps 651,Congress 8,8,D,Darcy Burner,184
82731652,Lake Tapps 652,Congress 8,8,D,Darcy Burner,214
82731653,Lake Tapps 653,Congress 8,8,D,Darcy Burner,227
82731645,645,Congress 8,8,D,Darcy Burner,118
82731646,646,Congress 8,8,D,Darcy Burner,119
82731647,647,Congress 8,8,D,Darcy Burner,7
82731648,648,Congress 8,8,D,Darcy Burner,92
82731649,649,Congress 8,8,D,Darcy Burner,56
82731654,654,Congress 8,8,D,Darcy Burner,82
82731655,655,Congress 8,8,D,Darcy Burner,226
82731656,656,Congress 8,8,D,Darcy Burner,98
82731657,657,Congress 8,8,D,Darcy Burner,204
82731658,658,Congress 8,8,D,Darcy Burner,457
82731659,659,Congress 8,8,D,Darcy Burner,352
82731660,660,Congress 8,8,D,Darcy Burner,126
82731661,661,Congress 8,8,D,Darcy Burner,71
82731662,662,Congress 8,8,D,Darcy Burner,131
82731663,663,Congress 8,8,D,Darcy Burner,110
82731664,664,Congress 8,8,D,Darcy Burner,105
82731665,665,Congress 8,8,D,Darcy Burner,197
82731666,666,Congress 8,8,D,Darcy Burner,138
82731667,667,Congress 8,8,D,Darcy Burner,158
82731668,wilkeson rural 668,Congress 8,8,D,Darcy Burner,51
82731669,wilkeson rural 669,Congress 8,8,D,Darcy Burner,9
82731670,670,Congress 8,8,D,Darcy Burner,68
82731671,671,Congress 8,8,D,Darcy Burner,2
82731672,672,Congress 8,8,D,Darcy Burner,90
82731673,673,Congress 8,8,D,Darcy Burner,8
62727359,359,Congress 9,9,D,Adam Smith,0
92702001,Roy 1,Congress 9,9,D,Adam Smith,103
92702011,Spanaway 11,Congress 9,9,D,Adam Smith,431
92702012,Spanaway 12,Congress 9,9,D,Adam Smith,360
92702013,Spanaway 13,Congress 9,9,D,Adam Smith,39
92702014,Spanaway 14,Congress 9,9,D,Adam Smith,425
92702015,Spanaway 15,Congress 9,9,D,Adam Smith,313
92702016,Spanaway 16,Congress 9,9,D,Adam Smith,327
92702017,Spanaway 17,Congress 9,9,D,Adam Smith,614
92702018,Spanaway 18,Congress 9,9,D,Adam Smith,439
92702019,Spanaway 19,Congress 9,9,D,Adam Smith,382
92702020,20,Congress 9,9,D,Adam Smith,192
92702024,24,Congress 9,9,D,Adam Smith,165
92702027,Graham,Congress 9,9,D,Adam Smith,367
92702028,Graham,Congress 9,9,D,Adam Smith,448
92702029,Graham,Congress 9,9,D,Adam Smith,45
92702030,Graham,Congress 9,9,D,Adam Smith,202
92702031,Graham,Congress 9,9,D,Adam Smith,136
92702032,Graham,Congress 9,9,D,Adam Smith,116
92702033,Graham,Congress 9,9,D,Adam Smith,337
92702034,Graham,Congress 9,9,D,Adam Smith,464
92702036,36,Congress 9,9,D,Adam Smith,235
92702037,Graham,Congress 9,9,D,Adam Smith,477
92702038,Graham,Congress 9,9,D,Adam Smith,441
92702040,Yelm rural 40,Congress 9,9,D,Adam Smith,506
92702041,Yelm rural 41,Congress 9,9,D,Adam Smith,241
92702042,Graham,Congress 9,9,D,Adam Smith,324
92702043,Yelm rural 43,Congress 9,9,D,Adam Smith,157
92702065,Fort Lewis 65,Congress 9,9,D,Adam Smith,0
92725101,Puyallup 101,Congress 9,9,D,Adam Smith,91
92725102,Puyallup 102,Congress 9,9,D,Adam Smith,615
92725103,Puyallup 103,Congress 9,9,D,Adam Smith,534
92725104,Puyallup 104,Congress 9,9,D,Adam Smith,452
